PID,Text,Media,MediaURL,Emotion,HateSpeech
P:1577851517842825216,"RT @ThePandemica: If @ElonMusk actually buys @Twitter, &amp; he re-platforms @REALDonaldTrump, [&amp; you don't get purged🙄] you will:",NA,,,
P:1577851434879557632,@Coffeeclutch20 @DrJSports69 @KaiByTheSea @SacruzGA @HerschelWalker @realDonaldTrump Good to know that you plan on continuing to harass women at abortion clinics and threatening or killing staff. You’re a hypocrite that doesn’t care about kids. When they’re born you people do nothing to help them. You’re ALL hypocrites.,NA,,,
P:1577851378227183617,@RealDonaldTrump singles out women who disagree with him because he hates women #LibelTrump,NA,,,
P:1577851337118666752,"@SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISBACK5 @gnarlyballs @nutcontroversy @realDonaldTrump @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FBINewYork @FBIPhoenix @FBILouisville @amnesty @DHSgov @amnestyusa @amnestypress @FLOTUS @FBIWFO @FBIAlbuquerque @FBIAtlanta @FBIPittsburgh @FBIBoston @FBIAlbany @FBIBaltimore @FBIBirmingham @FBIBuffalo @FBICincinnati @FBIColumbia @FBIDenver @FBIDallas @FBIDetroit @FBILosAngeles @TheJusticeDept @UCLA @MilitaryStart4 I know near all codes posted of maga terrorist who go back/forth for $ political sides lying cause chaos try to cause civil &amp; world war five yrs daily #qanoncult #scottdavidhelton 
@militarystart4#alisonwu 
@lightersup9&amp; proxy while they're threatened to shoot police feds intel!",NA,,,
P:1577850831281569793,RT @yulim5r: @realDonaldTrump Declassifying the documents opens Pandora's box and the Obama-Clinton Pestilential Swamp Drain begins. https:…,https:…,,,
P:1577850468927213574,https://t.co/HkcKADKEma,https://t.co/HkcKADKEma,,,
P:1577850438522896385,"My opinion, but I miss this guy.  https://t.co/W7rxNPY8a8",https://t.co/W7rxNPY8a8,,,
P:1577850253415424000,This is the #realDonaldTrump I don't know who that #fakeDonaldTrump at #FoxNews is trying to float at the rallies https://t.co/DHQUaUbD3c,https://t.co/DHQUaUbD3c,,,
P:1577850123446411264,"RT @MarcOfBevHills: @FBI @FBIWFO @DOJCrimDiv 
Now you have to arrest The Ring Leader @realDonaldTrump !!",NA,,,
P:1577850043674947586,"@FBI @FBIWFO @DOJCrimDiv 
Now you have to arrest The Ring Leader @realDonaldTrump !! https://t.co/KhYgyXhuEL",https://t.co/KhYgyXhuEL,,,
P:1577850001891500032,https://t.co/kYY96Ekxxy,https://t.co/kYY96Ekxxy,,,
P:1577849848509898752,@shoutoutappusa @NickAdamsinUSA @realDonaldTrump https://t.co/B336sQmC97,https://t.co/B336sQmC97,,,
P:1577849605718515712,RT @BrieforNevada: .@realDonaldTrump I am an elector for the state of Nevada. I am a United States Navy veteran and I am homeless. You're s…,NA,,,
P:1577849479570522115,https://t.co/qfXQyqsFaL,https://t.co/qfXQyqsFaL,,,
P:1577849377602904065,https://t.co/gANZwjzWZM,https://t.co/gANZwjzWZM,,,
P:1577849250016272384,https://t.co/JSfBajE9dZ,https://t.co/JSfBajE9dZ,,,
P:1577849041425154050,https://t.co/rWwx4hMZqt,https://t.co/rWwx4hMZqt,,,
P:1577848863301451776,"RT @itsJeffTiedrich: @realDonaldTrump ideally, you want the President of the United States, the Mayor of Crazytown and the village idiot to…",NA,,,
P:1577848805424128000,844 See @realDonaldTrump 12/2/ 17 (9:06 p.,NA,,,
P:1577848773031743488,@itsJeffTiedrich @realDonaldTrump !!!!,NA,,,
P:1577848724000165888,"@kokosghost @realDonaldTrump Dam that was a mistake, stupid Doctor!!",NA,,,
P:1577848527216156673,"RT @WhiteHouse45: This morning, President @realDonaldTrump delivered remarks to the Economic Clubs of New York, Florida, Washington, D.C.,…",NA,,,
P:1577848433783848960,RT @WhiteHouse45: Income for Black Americans grew 9 TIMES more under President @realDonaldTrump's leadership than during the 8 years before…,NA,,,
P:1577848173208383488,"RT @sky_carrot0319: @realdonaldtrump
#峡谷陸レースTA
1:31.81 (30fps) https://t.co/M20S9UZSap",https://t.co/M20S9UZSap,,,
P:1577848148223037447,@1Lelia @realDonaldTrump Please follow back,NA,,,
P:1577847851555635207,RT @jimmykimmel: .@RealDonaldTrump doesn't like dogs... https://t.co/aLMz5hmlXl,https://t.co/aLMz5hmlXl,,,
P:1577847749478912002,@WhiteHouse45 @POTUS45 @realDonaldTrump @FLOTUS 我爱王可,NA,,,
