POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI https://t.co/8nWuVsj2Dt,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations 💐,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Many congratulations girl 👏👏👏,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations 🎉👍,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Hearty congratulations 🤗 champion,Additional Comment,NA,,,,,,
P:1584054220369498113,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054203437436929,,,RT @TOICitiesNews: 2 robbers held following encounter in Delhi's Jyoti Nagar: Police https://t.co/s677aBecxg,Caption,,,,,,,
P:1584054199582457856,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054161536348161,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054160877846529,,,RT @TOICitiesNews: Puducherry CB-CID arrests kingpin of overseas employment racket https://t.co/HNh8GACI5a,Caption,,,,,,,
P:1584054148991193088,,,"RT @sapna19sharma: Corona Berozgar Aspirants 
#UPSCExtraAttempt 
#Unemployed_Youth
@PMOIndia @narendramodi @ndtvindia @CNNnews18 @timesofin…",Caption,,,,,,,
P:1584054145484353536,,,RT @akfromindia: Noida police is reluctant to curb Rash Driving &amp; Wrong side driving. people drive without the fear of law ⁦@CeoNoida⁩ ⁦@no…,Caption,,,,,,,
P:1584054140610936833,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584054136605052928,,,"@timesofindia Cheap liquor serving at state by govt , may be the reason for this...",Caption,,,,,,,
P:1584054136605052928,,,"@timesofindia Cheap liquor serving at state by govt , may be the reason for this...",Additional Comment,NA,,,,,,
P:1584054136605052928,,,"Vijayawada, Andhra Pradesh | Two men lost their lives in the fire at a firecracker stall in Gymkhana ground at Gandhi Nagar today morning. Deceased yet to be identified: Fire Department officials",Additional Comment,NA,,,,,,
P:1584054136605052928,,,"@timesofindia @IamNaveenKapoor माननीय प्रधानमंत्री जी होमगार्ड एक्ट में संशोधन कर स्वयंसेवक शब्द हटाकर सम्पूर्ण भारत के जवानों को राज्यकर्मी घोषित करने की कृपा करें
#होमगार्ड्स_एक्ट_में_संशोधन_करें
@narendramodi
@AmitShah
@Aamitabh2
@rashtrapatibhvn
@myogiadityanath
@dharmindia51
@ABPNews
@draupadimurmum",Additional Comment,NA,,,,,,
P:1584054090744860672,,Ffuwy4xaMAAHLjk.jpg,"Year after Instagram debut, PM @narendramodi clips draw record views
https://t.co/nqbHgKepXr via NaMo App https://t.co/8GyERcWRZv",Caption,https://pbs.twimg.com/media/Ffuwy4xaMAAHLjk.jpg,,,,,,
P:1584054079319203841,,,SO BE PREPARED FOR ANOTHER VIRUS LEAK AND UPSHOTS - https://t.co/8RhaGD20us,Caption,,,,,,,
P:1584054034574774272,,,RT @TOICitiesNews: Bihar CM Nitish Kumar launches online transfer of special financial assistance to drought-hit families https://t.co/4t0E…,Caption,,,,,,,
P:1584054030879580162,,,RT @Narende01589313: @dichicorp @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @nishantyadav…,Caption,,,,,,,
P:1584054028983754752,,FfuwhgfakAABCNS.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/1vHYdOpph0 via NaMo App https://t.co/5SGQyBpHDy",Caption,https://pbs.twimg.com/media/FfuwhgfakAABCNS.jpg,,,,,,
P:1584054006535462912,,,"When will they resent their money being spent by Modi on temple tours and pujas?

Kab khaulega re tera khoon? 🤔
https://t.co/tWWtFm8GJ9",Caption,,,,,,,
P:1584054006535462912,,,@cynical_ujval Kis kis baat ka badla lega tera faizal? kyun ummeed lagaye baithi ho? Arjun ko kyun nahin kehti? Kya meri koi apni jindagi nahin hai?,Additional Comment,NA,,,,,,
P:1584053972985581568,,FfuwrtQaUAEON6m.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/god3sogIOD

via NaMo App https://t.co/ipKmb8Eugk",Caption,https://pbs.twimg.com/media/FfuwrtQaUAEON6m.jpg,,,,,,
P:1584053970787442688,,,RT @dichicorp: @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @DiprHaryana @nishantyadavIAS…,Caption,,,,,,,
P:1584053924457107456,,,"RT @RMofficialmusic: Punjab : Over 90,000 pension beneficiaries found dead in a govt survey.

October 13, 2022.

Link 👇👇👇

https://t.co/pM1…",Caption,,,,,,,
P:1584053897550696448,,FfuwncAUAAI6NKJ.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/mtfxzEnhCP via NaMo App https://t.co/x5azPU4J65",Caption,https://pbs.twimg.com/media/FfuwncAUAAI6NKJ.jpg,,,,,,
P:1584053860250763264,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584053842198425600,,FfuwfatUcAA5gw4.jpg,"#T20WorldCup | #SLvIRE | Super 12

The 18th over ends with a big wicket. Fernando ends Tector's fighting knock of 45. 

Ireland 117/6.

#SLvsIRE #HarryTector

FOLLOW LIVE: https://t.co/fDfW9AMEhu https://t.co/VyQo45pCIR",Caption,https://pbs.twimg.com/media/FfuwfatUcAA5gw4.jpg,,,,,,
P:1584053829481672704,,,"RT @TOICitiesNews: Bhopal: Joyride in wee hours with friends turns fatal, engineering student dies in sports-bike crash https://t.co/M1C3kO…",Caption,,,,,,,
P:1584053823865491456,,,"RT @Jackncyberspace: https://t.co/xt8g33vEpQ 

Maybe motivation for decriminalizing Adultery Law
#NotMyCJI #MaleGenocide #LegalGenocide htt…",Caption,,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Sagarika, try anulom vilom....",Caption,,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Sagarika, try anulom vilom....",Additional Comment,NA,,,,,,
P:1584053823261519873,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Mam Azad already left do some home work,Additional Comment,NA,,,,,,
P:1584053823261519873,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @MahuaMoitra Madam you are at point number of article and set to become Women n Child Development Minister. Congratulations @AITCofficial @MamataOfficial @ManavAITC,Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Must article of today, wud recommend every one to read it.",Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia That’s it! When there’s no chance to getting votes to govern, manufacturing kitchen cabinet of the Gandi fly of worlds most corrupt political dynasties is the strategy! 😝

Confessions of failure to lure normal Indians by a dynastic slave",Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@BourbonNscotch @sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @RahulGandhi True that.

Enough of such rascalisms in name of journalism..these are the same sickos who proliferated the propoganda of RSS-BJP, be it the pappu, 2G-3G, IAC(genesis of AAP), vilification of Shiela jee..etc.

No mercy for this lot..NO MERCY

#BharatJodoYatra",Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@Gautam_Kashyap3 @sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @RahulGandhi Along with the 38-39 pc ppl who voted for the fascists, the many elite Wine  sipping  lap dogs who having made their careers during UPA time conveniently became fascist enablers post 2014. The day of reckoning for them is not far.",Additional Comment,NA,,,,,,
P:1584053823261519873,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia The fact that you are copying GNA shows that u are not in the 'real' Cong world. 🤦‍♂️,Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia It's painful to see that rather than focusing on highlighting issues like inflation, falling rupee, jobs issue, focus is being put into the election result of INC president.
Someone having 50 years political experience is Inc president still people trying to find flaws.",Additional Comment,NA,,,,,,
P:1584053823261519873,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Gosh!! Its time for you to retire ma'am from writing op-eds on Cong.  Cong will take care of its running. Too many cooks spoil the broth.  So instead of 'shadow' attacking Cong under the guise of op-eds, maybe useful to readers if yall start questioning the current dispensation.",Additional Comment,NA,,,,,,
P:1584053820694241280,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584053813949800448,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Mam Azad already left do some home work,Caption,,,,,,,
P:1584053813949800448,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Sagarika, try anulom vilom....",Additional Comment,NA,,,,,,
P:1584053813949800448,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Mam Azad already left do some home work,Additional Comment,NA,,,,,,
P:1584053813949800448,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @MahuaMoitra Madam you are at point number of article and set to become Women n Child Development Minister. Congratulations @AITCofficial @MamataOfficial @ManavAITC,Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Must article of today, wud recommend every one to read it.",Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia That’s it! When there’s no chance to getting votes to govern, manufacturing kitchen cabinet of the Gandi fly of worlds most corrupt political dynasties is the strategy! 😝

Confessions of failure to lure normal Indians by a dynastic slave",Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@BourbonNscotch @sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @RahulGandhi True that.

Enough of such rascalisms in name of journalism..these are the same sickos who proliferated the propoganda of RSS-BJP, be it the pappu, 2G-3G, IAC(genesis of AAP), vilification of Shiela jee..etc.

No mercy for this lot..NO MERCY

#BharatJodoYatra",Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@Gautam_Kashyap3 @sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia @RahulGandhi Along with the 38-39 pc ppl who voted for the fascists, the many elite Wine  sipping  lap dogs who having made their careers during UPA time conveniently became fascist enablers post 2014. The day of reckoning for them is not far.",Additional Comment,NA,,,,,,
P:1584053813949800448,,,@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia The fact that you are copying GNA shows that u are not in the 'real' Cong world. 🤦‍♂️,Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia It's painful to see that rather than focusing on highlighting issues like inflation, falling rupee, jobs issue, focus is being put into the election result of INC president.
Someone having 50 years political experience is Inc president still people trying to find flaws.",Additional Comment,NA,,,,,,
P:1584053813949800448,,,"@sagarikaghose @INCIndia @ShashiTharoor @PChidambaram_IN @ghulamnazad @timesofindia Gosh!! Its time for you to retire ma'am from writing op-eds on Cong.  Cong will take care of its running. Too many cooks spoil the broth.  So instead of 'shadow' attacking Cong under the guise of op-eds, maybe useful to readers if yall start questioning the current dispensation.",Additional Comment,NA,,,,,,
P:1584053810666012674,,Ffuwie9acAAk2Oo.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/A7e4cr6oWP

via NaMo App https://t.co/RsKyHxqcTL",Caption,https://pbs.twimg.com/media/Ffuwie9acAAk2Oo.jpg,,,,,,
P:1584053810129154049,,,RT @TOICitiesNews: Seven injured in blast at BPCL oil depot near Bhopal https://t.co/HsmV2sw8DF,Caption,,,,,,,
P:1584053799836332033,,,RT @TOICitiesNews: Kerala: Biodiversity co-ordination committees to be formed in all districts https://t.co/rnI8mFPWWh,Caption,,,,,,,
P:1584053792789569536,,,RT @SuryaNa85488091: @SSPATRA84 @Naveen_Odisha @CMO_Odisha @pranabpdas @GovernorOdisha @gapg_dept @SecyChief @MoSarkar5T @otvnews @kanak_ne…,Caption,,,,,,,
P:1584053780844523520,,Ffuwg9daEAEv8Yx.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/fhugzYXiId

via NaMo App https://t.co/ZqzpikUXMw",Caption,https://pbs.twimg.com/media/Ffuwg9daEAEv8Yx.jpg,,,,,,
P:1584053780274118656,,,RT @TOICitiesNews: Worker at firecracker stall dies of electrocution by live wire in Pune https://t.co/lrT8xLEnV6,Caption,,,,,,,
P:1584053769628971013,,,RT @TOICitiesNews: Traffic snarls across Delhi as shoppers throng markets on Dhanteras https://t.co/0rqREea8hv,Caption,,,,,,,
P:1584053757666504704,,,RT @Narende01589313: @dichicorp @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @nishantyadav…,Caption,,,,,,,
P:1584053750733234178,,FfuwfY2WAAA_5wz.jpg,"Year after Instagram debut, PM clips draw record views
https://t.co/HM6YJe2tjg via NaMo App https://t.co/nBuxGbY5C9",Caption,https://pbs.twimg.com/media/FfuwfY2WAAA_5wz.jpg,,,,,,
P:1584053749500153857,,,RT @DalpatBirendra: @SSPATRA84 @Naveen_Odisha @CMO_Odisha @pranabpdas @GovernorOdisha @gapg_dept @SecyChief @MoSarkar5T @otvnews @kanak_new…,Caption,,,,,,,
P:1584053699621818368,,,"RT @TOICitiesNews: No fine for flouting traffic rules in Gujarat during Diwali, announces govt; Asaduddin Owaisi calls it 'Revdi' https://t…",Caption,,,,,,,
P:1584053659872022528,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584053638049038336,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584053621137997824,,,"RT @singhesha10: Concluded my world championship Cairo Egypt 2022 ,3 gold and one bronze 🥇🥇🥇 🥉proud moment with goose bumps putting the fla…",Caption,,,,,,,
P:1584053603224125440,,,"RT @Jackncyberspace: https://t.co/xt8g33vEpQ 

Maybe motivation for decriminalizing Adultery Law
#NotMyCJI #MaleGenocide #LegalGenocide htt…",Caption,,,,,,,
P:1584053526379888640,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
P:1584053495392452608,,,RT @majorgauravarya: ISRO’s heaviest rocket successfully places 36 OneWeb satellites into orbit. LVM3 makes its entry into the global comme…,Caption,,,,,,,
